Age,Hours_Worked_Per_Week,Mental_Health_Condition,gender,industry,Location,sleep_Quality,stress_Level,access_to_Mental_Health_Resource,physical_Activity,region
>42,35,fit,Other,Education,Remote,Good,Low,Yes,Not At All,North America
22-32,45,ill,Female,Healthcare,Hybrid,Poor,Medium,No,Not At All,Africa
>42,28,ill,Male,Finance,Onsite,Good,Low,No,Daily,Oceania
>42,58,ill,Other,Consulting,Hybrid,Poor,High,No,Weekly,Europe
>42,23,ill,Other,Manufacturing,Onsite,Average,Low,No,Weekly,Asia
22-32,57,ill,Female,Manufacturing,Remote,Average,High,Yes,Daily,Asia
>42,28,ill,Other,Retail,Remote,Poor,High,No,Not At All,Europe
>42,50,fit,Female,Manufacturing,Hybrid,Average,Low,Yes,Not At All,Oceania
22-32,46,fit,Female,Retail,Hybrid,Good,Medium,No,Not At All,Europe
22-32,60,fit,Female,Education,Hybrid,Average,High,No,Daily,Asia
22-32,25,ill,Other,Retail,Hybrid,Poor,High,Yes,Daily,Oceania
>42,45,ill,Male,Healthcare,Remote,Good,High,No,Daily,Africa
>42,50,ill,Male,Education,Remote,Poor,Medium,Yes,Weekly,Asia
22-32,25,ill,Male,Manufacturing,Onsite,Good,Low,No,Not At All,South America
32-42,49,ill,Male,Manufacturing,Hybrid,Average,Low,Yes,Not At All,Europe
22-32,23,ill,Other,Education,Hybrid,Average,High,No,Weekly,North America
>42,26,ill,Female,Finance,Onsite,Average,Medium,No,Weekly,Oceania
>42,46,fit,Other,Consulting,Remote,Average,Medium,No,Weekly,Oceania
32-42,42,ill,Other,IT,Remote,Poor,Medium,No,Weekly,Oceania
>42,46,ill,Female,Healthcare,Remote,Average,Medium,No,Not At All,South America
32-42,29,ill,Male,Finance,Onsite,Good,Low,Yes,Weekly,Africa
>42,43,ill,Male,IT,Onsite,Average,Medium,Yes,Daily,North America
>42,33,ill,Other,Education,Onsite,Average,Low,Yes,Not At All,Asia
32-42,24,fit,Other,Healthcare,Remote,Average,High,Yes,Not At All,Oceania
>42,30,ill,Male,Education,Remote,Good,Medium,No,Weekly,North America
22-32,29,fit,Male,Healthcare,Onsite,Average,Medium,Yes,Not At All,North America
32-42,23,ill,Male,Finance,Hybrid,Poor,Low,Yes,Weekly,South America
>42,43,ill,Female,Consulting,Onsite,Poor,High,Yes,Weekly,North America
>42,28,fit,Male,Consulting,Hybrid,Poor,Medium,Yes,Not At All,South America
>42,22,ill,Male,Retail,Hybrid,Good,Low,No,Weekly,South America
>42,58,ill,Female,Education,Onsite,Average,Medium,Yes,Not At All,Africa
32-42,39,fit,Male,Consulting,Hybrid,Average,Low,No,Not At All,South America
>42,49,ill,Other,Healthcare,Onsite,Good,Medium,No,Daily,South America
32-42,39,ill,Other,Education,Onsite,Poor,Medium,Yes,Daily,Africa
>42,39,fit,Other,Healthcare,Hybrid,Poor,Medium,No,Weekly,Africa
22-32,36,ill,Other,Healthcare,Hybrid,Average,High,No,Not At All,South America
>42,22,fit,Other,IT,Hybrid,Average,Low,No,Weekly,North America
>42,53,ill,Other,Retail,Remote,Good,High,No,Not At All,Oceania
>42,26,ill,Female,Retail,Remote,Average,High,Yes,Not At All,Oceania
22-32,24,ill,Other,Education,Onsite,Average,High,Yes,Not At All,Europe
22-32,47,ill,Female,Retail,Hybrid,Good,High,Yes,Not At All,Europe
22-32,43,fit,Other,Consulting,Onsite,Poor,Medium,Yes,Weekly,Europe
22-32,56,ill,Other,Education,Onsite,Average,Low,Yes,Daily,North America
22-32,52,ill,Female,Finance,Onsite,Poor,Low,Yes,Weekly,Asia
32-42,35,fit,Other,Retail,Hybrid,Average,Low,No,Weekly,North America
>42,36,ill,Other,IT,Remote,Good,Low,Yes,Weekly,Africa
>42,25,fit,Male,Healthcare,Remote,Good,High,Yes,Daily,South America
>42,54,ill,Other,IT,Hybrid,Average,High,No,Not At All,North America
22-32,52,ill,Other,Consulting,Onsite,Good,Medium,Yes,Daily,Europe
>42,23,ill,Female,Retail,Remote,Poor,High,Yes,Not At All,Asia
>42,57,ill,Other,Manufacturing,Onsite,Average,Low,No,Not At All,Europe
32-42,50,fit,Male,Retail,Hybrid,Good,Medium,No,Daily,Africa
>42,59,ill,Other,Retail,Hybrid,Poor,High,Yes,Daily,South America
22-32,30,ill,Other,Finance,Remote,Average,Medium,Yes,Daily,Asia
22-32,20,ill,Male,Consulting,Hybrid,Good,Low,Yes,Weekly,Africa
>42,51,ill,Male,Education,Remote,Average,Low,No,Not At All,Europe
>42,58,ill,Male,Healthcare,Hybrid,Good,High,Yes,Daily,North America
22-32,36,ill,Other,Healthcare,Onsite,Average,High,No,Weekly,Africa
>42,33,ill,Other,Consulting,Hybrid,Poor,High,No,Weekly,North America
>42,58,fit,Other,Consulting,Onsite,Average,Low,No,Daily,Oceania
>42,27,fit,Other,Healthcare,Remote,Average,High,No,Daily,South America
>42,45,ill,Male,IT,Remote,Poor,Low,Yes,Weekly,Asia
>42,58,ill,Female,Manufacturing,Hybrid,Good,Low,No,Weekly,North America
22-32,37,ill,Other,Finance,Onsite,Good,Low,Yes,Not At All,Oceania
32-42,59,ill,Other,Retail,Remote,Poor,Medium,No,Not At All,Asia
>42,35,fit,Male,IT,Onsite,Average,Low,Yes,Daily,South America
32-42,31,ill,Other,Retail,Remote,Average,High,No,Weekly,South America
>42,44,ill,Male,Retail,Onsite,Good,High,No,Weekly,Oceania
22-32,42,ill,Male,Healthcare,Onsite,Average,Medium,Yes,Daily,North America
>42,27,ill,Other,Consulting,Onsite,Poor,Medium,No,Daily,South America
>42,39,ill,Other,Healthcare,Hybrid,Poor,High,Yes,Weekly,South America
22-32,45,ill,Male,Healthcare,Remote,Good,Medium,No,Not At All,North America
22-32,59,ill,Male,Retail,Onsite,Good,Medium,No,Not At All,North America
22-32,42,ill,Other,Manufacturing,Remote,Poor,Low,Yes,Not At All,Asia
32-42,55,ill,Female,Retail,Hybrid,Average,High,Yes,Weekly,Africa
>42,41,ill,Other,IT,Onsite,Poor,Low,No,Weekly,South America
32-42,37,ill,Other,Consulting,Onsite,Average,Medium,Yes,Not At All,Africa
>42,30,ill,Other,Manufacturing,Remote,Poor,Low,Yes,Not At All,North America
32-42,58,fit,Female,Education,Onsite,Poor,Medium,Yes,Not At All,Europe
>42,36,ill,Other,Finance,Hybrid,Good,Medium,No,Not At All,South America
22-32,41,fit,Other,Healthcare,Remote,Poor,Medium,No,Not At All,Oceania
22-32,29,ill,Other,Finance,Remote,Good,Medium,No,Not At All,Oceania
22-32,31,ill,Female,Healthcare,Hybrid,Good,High,No,Not At All,Asia
22-32,39,ill,Other,Retail,Remote,Good,High,Yes,Not At All,Oceania
22-32,33,fit,Other,IT,Onsite,Good,High,No,Not At All,Oceania
>42,45,ill,Female,Retail,Onsite,Average,Low,Yes,Not At All,Europe
>42,39,ill,Other,Healthcare,Onsite,Average,Medium,No,Daily,Asia
32-42,40,ill,Other,Finance,Remote,Good,High,No,Weekly,North America
>42,49,ill,Other,IT,Hybrid,Poor,Low,No,Not At All,Asia
22-32,49,ill,Female,Finance,Hybrid,Good,Medium,Yes,Weekly,Africa
32-42,53,ill,Other,IT,Remote,Good,Medium,No,Weekly,Europe
>42,23,ill,Other,Education,Remote,Good,High,Yes,Daily,North America
22-32,34,ill,Female,Finance,Onsite,Good,High,No,Daily,Europe
>42,55,ill,Other,IT,Remote,Poor,Low,No,Daily,Oceania
32-42,44,ill,Female,Finance,Remote,Good,Medium,No,Not At All,South America
>42,54,ill,Other,Finance,Onsite,Poor,Low,No,Weekly,Africa
>42,29,ill,Female,Finance,Remote,Poor,Medium,Yes,Not At All,Oceania
22-32,32,ill,Male,Consulting,Remote,Good,Medium,Yes,Daily,Asia
32-42,45,ill,Other,IT,Onsite,Good,Low,No,Daily,Europe
22-32,59,ill,Other,Education,Hybrid,Poor,High,No,Not At All,Europe
>42,35,ill,Female,Retail,Hybrid,Poor,High,Yes,Not At All,Asia
>42,36,fit,Other,Retail,Remote,Good,High,No,Weekly,Asia
32-42,29,ill,Male,Manufacturing,Hybrid,Poor,High,No,Not At All,Oceania
32-42,43,ill,Other,Healthcare,Onsite,Good,Medium,No,Not At All,North America
>42,49,ill,Other,Finance,Onsite,Poor,High,Yes,Weekly,Asia
32-42,52,ill,Other,Education,Onsite,Average,Medium,No,Not At All,South America
>42,54,fit,Male,Consulting,Hybrid,Good,Low,No,Daily,South America
32-42,33,ill,Male,Finance,Hybrid,Poor,Medium,Yes,Not At All,South America
>42,31,ill,Male,Retail,Remote,Average,Medium,Yes,Weekly,Europe
22-32,45,ill,Other,Education,Remote,Average,Medium,Yes,Daily,Africa
>42,52,ill,Other,Healthcare,Remote,Good,Low,No,Not At All,Europe
>42,41,ill,Other,Consulting,Hybrid,Good,High,Yes,Weekly,Asia
>42,54,fit,Male,Consulting,Hybrid,Poor,Low,No,Not At All,Africa
>42,38,ill,Female,Finance,Remote,Average,Medium,Yes,Not At All,Africa
22-32,23,fit,Female,IT,Hybrid,Average,High,No,Not At All,Asia
>42,27,ill,Other,IT,Hybrid,Poor,High,Yes,Weekly,Oceania
22-32,45,ill,Female,Education,Onsite,Poor,Medium,No,Weekly,North America
22-32,29,ill,Other,Manufacturing,Hybrid,Poor,Medium,No,Daily,Europe
32-42,31,ill,Other,Finance,Hybrid,Poor,Medium,No,Daily,South America
>42,45,ill,Female,Manufacturing,Remote,Average,High,Yes,Daily,North America
32-42,28,fit,Female,Education,Onsite,Poor,Low,No,Weekly,South America
22-32,32,ill,Male,Manufacturing,Hybrid,Average,Medium,No,Weekly,South America
>42,56,ill,Male,Education,Hybrid,Average,High,Yes,Daily,North America
>42,46,ill,Other,Finance,Remote,Good,Low,Yes,Daily,Europe
>42,29,fit,Female,Consulting,Hybrid,Average,Medium,No,Weekly,Oceania
>42,51,ill,Male,Education,Hybrid,Good,Medium,Yes,Weekly,Oceania
32-42,35,ill,Other,Retail,Remote,Good,Low,Yes,Daily,South America
22-32,23,fit,Female,Finance,Onsite,Average,Low,No,Not At All,Africa
22-32,50,ill,Female,Education,Onsite,Poor,Medium,No,Not At All,Europe
22-32,58,ill,Other,Retail,Remote,Average,Low,No,Weekly,Africa
>42,45,ill,Other,Manufacturing,Onsite,Poor,Low,Yes,Daily,Africa
>42,54,fit,Female,Retail,Onsite,Good,High,No,Daily,Oceania
>42,54,fit,Male,IT,Hybrid,Average,High,Yes,Not At All,South America
32-42,27,ill,Female,Manufacturing,Onsite,Poor,Medium,Yes,Not At All,Oceania
>42,60,ill,Male,Healthcare,Onsite,Good,High,No,Daily,Oceania
>42,21,ill,Other,Retail,Onsite,Poor,Medium,No,Not At All,Europe
22-32,60,ill,Male,Healthcare,Onsite,Good,Low,No,Not At All,Africa
>42,50,ill,Other,Finance,Onsite,Average,Medium,No,Daily,South America
22-32,41,ill,Other,IT,Remote,Average,Low,No,Not At All,Africa
>42,41,ill,Other,Healthcare,Hybrid,Poor,Low,No,Daily,South America
>42,56,fit,Other,Consulting,Hybrid,Good,Low,Yes,Weekly,North America
32-42,23,ill,Other,Consulting,Hybrid,Poor,Medium,No,Weekly,South America
>42,32,ill,Other,Manufacturing,Remote,Average,High,Yes,Weekly,North America
22-32,22,ill,Other,Retail,Hybrid,Poor,High,Yes,Weekly,Europe
32-42,48,ill,Other,Finance,Remote,Poor,High,Yes,Daily,Europe
22-32,22,ill,Other,IT,Hybrid,Poor,High,Yes,Not At All,South America
>42,22,ill,Other,Retail,Hybrid,Average,Low,No,Weekly,Oceania
22-32,60,ill,Female,Finance,Remote,Average,High,Yes,Daily,North America
>42,38,ill,Female,Education,Hybrid,Good,Medium,No,Weekly,Oceania
22-32,34,ill,Other,Retail,Remote,Average,High,No,Daily,South America
>42,23,fit,Other,Manufacturing,Onsite,Poor,High,Yes,Weekly,Africa
>42,52,ill,Female,IT,Onsite,Average,High,Yes,Daily,North America
>42,24,ill,Other,Education,Hybrid,Good,Medium,No,Not At All,Oceania
>42,38,ill,Other,Finance,Onsite,Poor,Medium,Yes,Weekly,North America
>42,46,ill,Male,Healthcare,Hybrid,Good,High,No,Daily,Africa
22-32,44,ill,Other,Retail,Hybrid,Good,Low,Yes,Weekly,Africa
>42,31,ill,Female,Finance,Remote,Average,Low,No,Weekly,South America
>42,32,ill,Male,Healthcare,Onsite,Poor,High,Yes,Daily,South America
22-32,31,fit,Other,Retail,Remote,Average,High,No,Not At All,Oceania
22-32,20,ill,Male,IT,Hybrid,Good,High,No,Daily,Europe
>42,42,ill,Female,Consulting,Hybrid,Average,Low,No,Weekly,Asia
>42,36,ill,Other,Education,Hybrid,Good,High,Yes,Weekly,Oceania
>42,44,ill,Female,Finance,Hybrid,Good,High,Yes,Not At All,South America
32-42,46,fit,Female,Finance,Hybrid,Average,High,No,Not At All,Africa
>42,55,ill,Other,Manufacturing,Onsite,Good,Low,Yes,Weekly,Europe
22-32,40,ill,Other,Finance,Hybrid,Good,Low,No,Weekly,Asia
22-32,40,fit,Other,Finance,Remote,Average,High,Yes,Daily,Asia
22-32,38,ill,Female,Consulting,Remote,Good,Medium,Yes,Weekly,South America
>42,57,ill,Male,Manufacturing,Hybrid,Average,High,Yes,Not At All,South America
>42,22,ill,Other,Retail,Hybrid,Good,Low,No,Not At All,Asia
32-42,45,ill,Male,IT,Hybrid,Poor,High,Yes,Weekly,Asia
22-32,41,ill,Other,Finance,Remote,Average,High,No,Daily,Asia
32-42,49,ill,Other,Healthcare,Remote,Good,Low,No,Weekly,North America
22-32,32,ill,Female,Consulting,Onsite,Average,Low,No,Weekly,Europe
>42,25,ill,Other,Finance,Onsite,Average,Medium,No,Weekly,North America
22-32,24,ill,Other,Finance,Hybrid,Good,High,Yes,Not At All,South America
22-32,49,ill,Male,Consulting,Remote,Good,High,No,Weekly,Africa
32-42,59,fit,Male,Education,Hybrid,Poor,Medium,No,Daily,Asia
>42,39,ill,Other,IT,Onsite,Good,High,Yes,Weekly,North America
32-42,34,ill,Other,Consulting,Remote,Good,Medium,No,Not At All,Europe
>42,55,fit,Female,Healthcare,Remote,Poor,Low,No,Weekly,North America
>42,28,ill,Other,Retail,Remote,Good,Low,Yes,Daily,North America
22-32,39,fit,Male,Finance,Remote,Average,Medium,No,Daily,Europe
>42,43,ill,Other,Finance,Remote,Average,Medium,No,Weekly,South America
>42,57,ill,Female,Education,Hybrid,Good,Medium,Yes,Not At All,Europe
>42,32,ill,Other,Healthcare,Onsite,Average,Low,No,Weekly,Europe
32-42,25,fit,Other,Finance,Remote,Good,Medium,Yes,Daily,North America
32-42,22,ill,Other,Education,Remote,Average,Low,No,Daily,Oceania
32-42,59,ill,Other,Consulting,Onsite,Good,Low,No,Daily,Oceania
22-32,22,ill,Other,Education,Onsite,Average,Low,No,Daily,North America
32-42,46,ill,Male,Education,Remote,Poor,Medium,No,Daily,Asia
>42,43,fit,Female,Finance,Remote,Good,High,Yes,Weekly,Africa
32-42,48,ill,Female,IT,Hybrid,Poor,High,No,Daily,Africa
>42,39,ill,Male,Healthcare,Onsite,Average,High,No,Not At All,South America
32-42,49,ill,Other,Consulting,Remote,Average,High,No,Not At All,Africa
22-32,38,ill,Other,Healthcare,Hybrid,Good,Low,Yes,Daily,Europe
22-32,32,fit,Other,Healthcare,Hybrid,Average,Low,No,Weekly,North America
>42,47,ill,Other,Retail,Hybrid,Poor,High,Yes,Weekly,South America
22-32,39,ill,Other,Consulting,Onsite,Good,Low,No,Not At All,Europe
32-42,47,ill,Male,Consulting,Hybrid,Average,Medium,No,Not At All,Europe
22-32,53,fit,Female,Healthcare,Remote,Good,Low,No,Not At All,Oceania
22-32,49,fit,Male,IT,Hybrid,Poor,Low,No,Weekly,North America
>42,47,fit,Male,Manufacturing,Onsite,Good,High,No,Not At All,Africa
>42,25,fit,Other,Retail,Hybrid,Average,Low,No,Daily,Africa
>42,55,ill,Female,Consulting,Hybrid,Good,High,No,Not At All,Europe
32-42,35,fit,Other,Retail,Onsite,Good,Low,No,Daily,South America
22-32,57,ill,Male,Consulting,Onsite,Poor,High,Yes,Daily,Oceania
>42,58,ill,Other,Retail,Hybrid,Good,Medium,No,Weekly,Oceania
>42,44,fit,Other,IT,Remote,Average,Low,Yes,Daily,Asia
>42,28,ill,Other,Finance,Hybrid,Poor,Medium,No,Not At All,Europe
22-32,25,ill,Other,Healthcare,Hybrid,Average,Low,No,Weekly,Africa
>42,58,ill,Female,Retail,Onsite,Poor,Low,Yes,Not At All,Asia
>42,44,ill,Other,Finance,Onsite,Average,High,No,Weekly,South America
>42,25,ill,Male,IT,Onsite,Poor,High,Yes,Weekly,Oceania
22-32,48,ill,Other,Healthcare,Onsite,Good,High,Yes,Not At All,Oceania
>42,34,ill,Male,Education,Hybrid,Average,Low,Yes,Weekly,Oceania
>42,38,ill,Male,Finance,Onsite,Average,Medium,No,Not At All,Asia
22-32,37,ill,Other,Healthcare,Remote,Average,Low,Yes,Not At All,North America
22-32,22,ill,Male,Finance,Remote,Good,High,Yes,Weekly,Oceania
32-42,22,ill,Other,Finance,Onsite,Average,Low,Yes,Daily,North America
>42,52,fit,Other,Healthcare,Onsite,Poor,Low,No,Daily,Oceania
>42,28,ill,Female,Finance,Remote,Average,Low,Yes,Daily,Oceania
>42,43,ill,Other,Manufacturing,Onsite,Average,Medium,Yes,Not At All,South America
32-42,41,ill,Male,Manufacturing,Onsite,Average,Low,Yes,Daily,Asia
>42,48,fit,Other,Finance,Onsite,Poor,High,No,Not At All,Africa
>42,30,ill,Other,Education,Hybrid,Good,Low,Yes,Weekly,South America
>42,29,ill,Male,Consulting,Onsite,Average,Medium,No,Daily,North America
>42,31,ill,Other,Consulting,Remote,Average,High,No,Not At All,Africa
22-32,43,fit,Other,Healthcare,Remote,Poor,Medium,Yes,Daily,Oceania
32-42,56,fit,Other,Manufacturing,Onsite,Poor,Medium,Yes,Weekly,North America
>42,58,ill,Other,IT,Onsite,Good,High,Yes,Daily,South America
32-42,53,ill,Male,Consulting,Remote,Good,High,Yes,Not At All,South America
22-32,36,fit,Other,Retail,Remote,Poor,Medium,No,Weekly,Oceania
>42,40,ill,Male,Healthcare,Hybrid,Average,Medium,No,Daily,Oceania
22-32,60,ill,Female,Retail,Hybrid,Poor,High,Yes,Not At All,North America
32-42,44,fit,Other,IT,Hybrid,Average,Medium,No,Daily,Europe
22-32,33,ill,Other,Education,Remote,Good,Low,No,Not At All,Oceania
>42,50,fit,Female,Healthcare,Hybrid,Good,Low,Yes,Daily,Asia
>42,38,ill,Other,Manufacturing,Remote,Good,High,Yes,Not At All,Oceania
22-32,51,ill,Other,Healthcare,Remote,Poor,Medium,Yes,Daily,South America
>42,59,ill,Male,Finance,Remote,Good,Low,No,Not At All,North America
32-42,54,ill,Female,Education,Onsite,Average,Medium,Yes,Daily,Europe
32-42,34,ill,Other,Consulting,Remote,Good,High,Yes,Daily,Asia
>42,37,fit,Male,Healthcare,Remote,Good,Low,No,Weekly,Africa
32-42,24,fit,Male,Finance,Remote,Average,High,Yes,Not At All,Asia
32-42,60,ill,Female,Education,Remote,Average,Medium,Yes,Weekly,South America
>42,34,ill,Other,Finance,Onsite,Average,Low,No,Not At All,Africa
22-32,25,ill,Other,IT,Onsite,Good,High,No,Weekly,Europe
>42,41,ill,Other,IT,Remote,Average,Low,No,Weekly,Oceania
32-42,54,ill,Other,IT,Remote,Average,High,No,Not At All,North America
>42,39,fit,Other,IT,Onsite,Poor,Low,Yes,Weekly,Africa
22-32,52,fit,Female,Healthcare,Onsite,Good,High,No,Daily,North America
22-32,54,ill,Other,IT,Remote,Average,High,No,Weekly,Africa
>42,22,fit,Other,Healthcare,Onsite,Poor,Medium,Yes,Not At All,Africa
>42,43,ill,Female,Consulting,Hybrid,Good,Low,Yes,Daily,Oceania
>42,35,ill,Male,Retail,Hybrid,Average,High,Yes,Not At All,South America
22-32,26,ill,Other,Manufacturing,Onsite,Average,Low,No,Weekly,Oceania
>42,32,ill,Male,Consulting,Onsite,Average,Low,No,Weekly,Asia
>42,53,fit,Other,IT,Remote,Average,Medium,No,Daily,Europe
>42,32,ill,Other,Healthcare,Remote,Average,High,Yes,Not At All,Europe
32-42,35,ill,Male,Education,Hybrid,Average,High,Yes,Daily,Africa
>42,44,ill,Other,Manufacturing,Hybrid,Poor,High,No,Daily,Europe
>42,24,ill,Other,Consulting,Onsite,Average,High,Yes,Weekly,Europe
>42,47,ill,Male,Manufacturing,Remote,Poor,High,No,Not At All,Europe
22-32,32,fit,Female,Retail,Hybrid,Average,Low,Yes,Weekly,Africa
22-32,32,fit,Female,Finance,Remote,Good,Medium,No,Daily,Oceania
22-32,39,ill,Other,Manufacturing,Remote,Good,Low,No,Daily,North America
>42,49,ill,Female,Healthcare,Remote,Good,Medium,Yes,Daily,Europe
22-32,59,ill,Other,Education,Remote,Poor,High,No,Not At All,South America
32-42,23,fit,Male,IT,Hybrid,Average,Medium,No,Weekly,South America
32-42,34,ill,Other,Retail,Remote,Poor,Medium,Yes,Weekly,North America
22-32,49,ill,Other,IT,Hybrid,Good,High,No,Weekly,Oceania
>42,39,fit,Male,Finance,Remote,Average,Medium,No,Daily,Asia
>42,26,ill,Male,Healthcare,Remote,Average,High,No,Weekly,Oceania
>42,50,ill,Male,Consulting,Hybrid,Good,Medium,No,Daily,South America
32-42,46,ill,Female,Finance,Hybrid,Poor,Medium,No,Daily,Asia
>42,46,ill,Other,Consulting,Onsite,Poor,Medium,No,Daily,Asia
32-42,22,fit,Male,IT,Hybrid,Poor,Low,Yes,Weekly,Oceania
>42,56,fit,Other,IT,Hybrid,Poor,Low,Yes,Not At All,Asia
>42,35,ill,Other,Education,Remote,Average,High,Yes,Daily,South America
>42,54,fit,Other,Manufacturing,Onsite,Good,Low,Yes,Daily,South America
32-42,51,fit,Other,Retail,Hybrid,Poor,Medium,No,Daily,South America
32-42,45,fit,Other,Finance,Remote,Good,Medium,Yes,Weekly,South America
32-42,42,ill,Male,Education,Remote,Poor,High,No,Daily,Africa
32-42,55,ill,Female,Retail,Hybrid,Good,Low,Yes,Daily,Africa
>42,21,ill,Other,Retail,Onsite,Good,High,No,Daily,Africa
>42,41,fit,Other,Healthcare,Onsite,Average,Low,No,Daily,Asia
32-42,49,ill,Other,Healthcare,Onsite,Average,High,Yes,Daily,Africa
22-32,47,ill,Other,Finance,Remote,Average,High,No,Not At All,North America
>42,29,ill,Other,Healthcare,Onsite,Average,High,No,Not At All,Oceania
22-32,20,ill,Other,Manufacturing,Remote,Good,Low,Yes,Not At All,Europe
>42,20,fit,Male,Consulting,Remote,Good,Medium,Yes,Daily,Africa
>42,25,ill,Other,IT,Remote,Average,Medium,No,Not At All,North America
>42,23,ill,Male,Education,Onsite,Poor,High,Yes,Weekly,Africa
22-32,43,ill,Male,IT,Hybrid,Average,Low,No,Not At All,Africa
>42,39,ill,Other,Retail,Remote,Good,High,No,Not At All,Africa
22-32,45,ill,Female,Healthcare,Onsite,Good,Low,No,Daily,North America
>42,20,fit,Female,Education,Remote,Poor,Medium,No,Daily,Asia
32-42,58,ill,Other,Education,Onsite,Average,High,Yes,Not At All,North America
>42,45,ill,Other,Finance,Onsite,Poor,High,No,Not At All,Oceania
>42,32,ill,Other,Manufacturing,Onsite,Average,Low,Yes,Daily,North America
>42,45,ill,Male,Finance,Hybrid,Average,High,No,Weekly,North America
32-42,35,ill,Other,Education,Hybrid,Poor,Medium,No,Not At All,South America
>42,22,ill,Male,IT,Remote,Average,High,No,Daily,Africa
22-32,21,ill,Male,IT,Hybrid,Average,Low,No,Weekly,North America
>42,23,ill,Other,IT,Onsite,Good,Low,Yes,Weekly,Oceania
22-32,39,ill,Female,Healthcare,Remote,Good,Medium,No,Not At All,South America
22-32,43,fit,Other,Consulting,Onsite,Good,Low,Yes,Not At All,South America
>42,32,ill,Female,Consulting,Hybrid,Good,High,Yes,Not At All,Europe
32-42,27,ill,Other,Finance,Onsite,Good,High,Yes,Daily,Oceania
22-32,45,ill,Other,Healthcare,Hybrid,Poor,Low,No,Weekly,North America
>42,26,ill,Other,Healthcare,Hybrid,Poor,Low,No,Daily,Europe
>42,28,fit,Female,Finance,Remote,Poor,High,No,Daily,South America
22-32,43,fit,Other,Finance,Hybrid,Poor,High,No,Daily,South America
>42,28,fit,Other,Manufacturing,Remote,Good,High,Yes,Not At All,Asia
32-42,37,ill,Male,IT,Hybrid,Poor,High,Yes,Daily,North America
32-42,21,ill,Other,IT,Remote,Average,High,No,Weekly,Africa
22-32,38,ill,Female,Education,Remote,Poor,Low,No,Weekly,South America
>42,28,ill,Other,Finance,Onsite,Good,High,Yes,Daily,Oceania
32-42,33,ill,Other,Healthcare,Remote,Average,Medium,No,Not At All,Europe
22-32,25,ill,Male,IT,Onsite,Good,High,Yes,Not At All,North America
32-42,44,ill,Male,Manufacturing,Onsite,Good,Low,No,Not At All,Oceania
32-42,49,ill,Female,Education,Remote,Average,Low,Yes,Not At All,South America
32-42,60,fit,Male,Consulting,Remote,Average,High,No,Not At All,South America
32-42,28,ill,Other,IT,Onsite,Poor,Low,Yes,Not At All,Africa
32-42,41,ill,Other,IT,Remote,Average,Medium,Yes,Not At All,Asia
>42,51,ill,Other,IT,Onsite,Good,Low,No,Weekly,Oceania
22-32,52,ill,Female,Manufacturing,Remote,Good,Low,No,Not At All,Africa
22-32,31,ill,Female,Healthcare,Remote,Average,High,No,Not At All,South America
>42,51,ill,Other,Manufacturing,Remote,Good,Low,Yes,Not At All,Asia
22-32,36,ill,Female,Finance,Onsite,Average,Low,Yes,Weekly,North America
>42,59,ill,Male,Finance,Onsite,Good,High,Yes,Not At All,Asia
32-42,43,ill,Female,Consulting,Remote,Poor,High,No,Weekly,Oceania
32-42,54,fit,Female,Consulting,Hybrid,Good,Low,Yes,Not At All,Africa
>42,43,ill,Male,Healthcare,Hybrid,Good,Medium,Yes,Not At All,North America
>42,22,ill,Female,Retail,Remote,Poor,High,No,Weekly,North America
>42,34,ill,Other,Finance,Remote,Poor,Low,No,Daily,Oceania
22-32,23,ill,Other,Manufacturing,Remote,Good,High,No,Not At All,South America
>42,27,ill,Other,Healthcare,Remote,Average,High,No,Daily,South America
>42,45,fit,Female,Finance,Remote,Good,Medium,Yes,Weekly,Europe
>42,42,ill,Other,Retail,Remote,Poor,Low,Yes,Not At All,North America
>42,40,fit,Other,Retail,Onsite,Average,High,No,Daily,South America
22-32,46,fit,Male,Education,Onsite,Poor,Medium,No,Weekly,Oceania
32-42,37,ill,Female,Retail,Hybrid,Good,Low,Yes,Not At All,South America
>42,36,fit,Other,Consulting,Onsite,Good,Medium,No,Weekly,Africa
>42,35,ill,Female,IT,Hybrid,Good,Low,No,Daily,Europe
22-32,24,ill,Other,Retail,Hybrid,Average,Medium,No,Not At All,Asia
>42,22,ill,Other,Manufacturing,Remote,Poor,Medium,Yes,Daily,Oceania
32-42,37,fit,Male,Manufacturing,Hybrid,Average,Low,Yes,Daily,North America
32-42,28,fit,Other,Manufacturing,Hybrid,Good,Low,No,Not At All,Europe
22-32,56,ill,Other,IT,Remote,Poor,High,Yes,Weekly,North America
>42,36,fit,Female,Retail,Hybrid,Average,High,No,Daily,Africa
>42,35,ill,Other,Finance,Hybrid,Average,Medium,Yes,Not At All,Asia
>42,41,ill,Other,IT,Hybrid,Poor,Low,No,Weekly,Asia
22-32,40,ill,Female,Healthcare,Remote,Average,Low,Yes,Not At All,South America
22-32,37,fit,Female,IT,Hybrid,Good,Medium,Yes,Daily,Europe
22-32,27,ill,Other,Finance,Onsite,Poor,Medium,No,Daily,Africa
32-42,51,ill,Male,IT,Hybrid,Poor,Low,Yes,Weekly,South America
>42,35,ill,Male,Retail,Remote,Average,High,No,Not At All,South America
>42,46,fit,Male,Consulting,Onsite,Poor,Medium,No,Not At All,Oceania
